English,Spanish,Zero Shot BLEU,Fine Tuned BLEU,Zero Shot Cosine,Fine Tuned Cosine,Zero Shot Transcribed Audio,Fine Tuned Transcribed Audio
"You've done this before, but it's not the same...","Lo has hecho otras veces, pero esto es diferente.",1.0,0.3628241434631103,0.9108559489250183,0.9011423587799072,"Lo has hecho otras veces, pero esto es diferente.","Lo has hecho otras species, perroesto es diferente."
"If it helps to have me around, even for a little bit,","Si ayuda tenerme cerca, aunque sea un poco,",0.0,0.028634401465295497,0.8910641670227051,0.8980796933174133,"C.A.U. Lieutenantum Serta, och C.A.N. Poco.",Si ayudan en cerca. Occi en poco.
Mens wristwatch (2),Dorada (2) Correa,0.0,0.0,0.9110506176948547,0.9106671810150146,"Dorada, Korea","Torada, Korea."
"WERACEDSEASONSEVENANDWON, BUT WE'RE GROWING APART.",Nosotros competimos en la temporada 7 y ganamos pero nos hemos distanciados.,0.4301463832259786,0.10170183314475842,0.9246522784233093,0.914757490158081,Nosotros competimos en la temporada. Aigánimos pero nos hemos distanciados.,Nosotros compétimos en li. Ad ganamos piro nos hemos distanciados.
I'll be a model school!,Voy a ser una escuela modelo !,0.43012508513132625,0.17103294495668978,0.8980612754821777,0.8945993185043335,"Voy a ser una escuadra, Matador.","Voy a ser honesto, le moteló."
"You are wrong, father.","Ud. Esta equivocado, Padre.",0.0,0.0,0.8964178562164307,0.8962411880493164,"Pero, este equivocado padre.",Este equivocado padre
You should now understand our difficulty,Debe entender nuestra dificultad actual,0.0,0.0,0.9261500835418701,0.9139935374259949,"Deve intender nuestra, difficult at actual.",D. Intended nuestra. Difficulted actual.
"Now, Dale, listen carefully.","Ahora, Dale, escucha con cuidado.",0.07440995947486906,0.05372849659117709,0.9148120880126953,0.9031678438186646,"Ahora, dale escucha concluido.",ahora de escuchar con cuidado
Additional pain management strategies,Otras estrategias de manejo del dolor,0.5081327481546147,0.5081327481546147,0.9187878966331482,0.9208289384841919,otras estrategias de manejo del dólar,otras estrategias de manejo del dólar
This is going to be a very special evening.,Esta va a ser una noche especial.,0.07308015504567583,0.17567205239427922,0.9098718762397766,0.9085807800292969,Este va a Sir Uninocca Special.,Este va a ser un alto especial.
You checked their backgrounds.,Se revisaron sus antecedentes.,0.16990442448471224,0.08034284189446518,0.9092702269554138,0.8585992455482483,si revisaron sus antecedentes,"Si, si vivas antecedentes."
You already said that about the Matisses and the Dufys.,Dijiste lo mismo de los Matisses y los Dufys.,0.14923729480049117,0.056122223243057295,0.924429714679718,0.909345269203186,De gesto mismo de los matices y los doofies.,"De gesto, mismo de las matices y las doves."
"""I'm going to the loo now."" ""OK, Elv, we'll go with you."" Strange","""Tengo que ir a mear."" ""Vamos contigo, Elvis."" Algo muy raro.",0.022416933501922302,0.022835060540062107,0.9189298152923584,0.9133679866790771,"Tengo que ver, mi amor. Vé, mus contigo, Elvis. Algo, mi raro.","Tengo cuora, mir. Vémas contigo, Elvis. Algo mai rero."
"David, Segovia (8/2/2014)","David, Segovia (8/2/2014)",0.09069748827745895,0.0,0.8913784623146057,0.86261385679245,David Segovia,David Sokovia
"Like somehow, by doing my job, I was making the world a better place.",Como si haciendo mi trabajo estuviera mejorando el mundo.,0.7259795291154771,0.024761510494160165,0.911634624004364,0.903295636177063,¿Cómo si haciendo mi trabajo estuviera mejorando el mundo?,¿Cómo sí? Así es el mando.
I believe I can bypass the safety circuits.,Creo que puedo puentear los circuitos de seguridad.,0.06846046760764757,0.0,0.9127870202064514,0.9021428227424622,Prio que Pudo.el los circuitos desiguridad.,Kita
Very well. If you say so.,"Muy bien, si Ud. Io dice...",0.0,0.0439891724758422,0.9005124568939209,0.8833925127983093,¿Va bien? ¿Se ha ido a dice?,"Mi bien, si, yo, dice."
Undertakings by Participants,Compromisos de los participantes,0.16990442448471224,0.3976353643835253,0.9149609804153442,0.916946530342102,compromisos de los participantes.,compromiso de los participantes
"Well, the law says you have that right.","Bueno, la ley dice que tienes ese derecho.",0.11868405219520975,0.1417182961428368,0.9074850678443909,0.9078797101974487,"Bueno, la ley dice, quítínse, ¿y es de recó?","Vino, la ley dice quittínse, easter echo."
You know what? That was just a fluke.,Eso fue casualidad.,0.5623413251903491,0.11362193664674995,0.9060112237930298,0.90760338306427,Eso fue casualidad.,"ESO, few casualidad."
Average,Average,0.22967601353452224,0.11413765129953121,0.9099561840295791,0.950951412320137,Average,Average
